decimalLatitude,decimalLongitude
-34.47372,-57.847553
-15.43634,-55.7248
-23.982256,-46.18914
-19.28515,-55.38963
-25.328432,-57.507824
-14.429494,-39.775093
-23.583656,-46.62993
-26.4329,-49.2411
-22.962193,-43.180088
-27.857103,-56.904404
-15.3813,-39.5686
-27.705294,-48.534122
-23.079105,-44.960175
-31.94873,-65.05161
-24.94801,-65.40158
-29.574146,-51.12175
-23.561726,-64.90097
-23.56674,-46.718685
-23.576815,-46.841537
-27.363443,-55.885647
-23.438147,-47.20147
-23.638762,-46.62337
-23.173382,-45.89349
-27.40122,-55.89698
-27.456875,-56.91372
-12.967325,-38.411633
-29.765831,-51.15315
-23.98271,-46.24468
-34.53852,-58.443703
-23.576815,-46.841537
-31.224213,-50.968563
-28.465134,-65.83161
-20.607311,-43.32943
-24.749037,-65.49339
-25.883043,-50.427155
-24.022831,-65.389595
-23.543272,-46.642406
-22.396852,-42.579475
-23.606476,-46.769596
-34.906822,-55.035587
-23.359856,-46.38344
-26.805834,-65.34167
